chr#	GeneID	Symbol	EnsemblID	HGNCID	MIM Number	UniprotAC	UniprotID	type_of_gene	Feature_type	Feature_type2	Feature_type3	Feature_type4	Feature_type5	Feature_type6	Feature_type7	Feature_type8	Feature_type9	Feature_type10	Feature_type11
1	110121139	LOC110121139						biological-region	enhancer										
1	110121160	LOC110121160						biological-region	enhancer										
1	110121161	LOC110121161						biological-region	enhancer										
1	110121184	LOC110121184						biological-region	enhancer										
1	110121205	LOC110121205						biological-region	enhancer										
1	110121213	LOC110121213						biological-region	enhancer										
1	110121214	LOC110121214						biological-region	enhancer	transcriptional_cis_regulatory_region									
1	110121215	LOC110121215						biological-region	enhancer										
1	110121221	LOC110121221						biological-region	enhancer										
1	110121223	LOC110121223						biological-region	enhancer										
1	110121238	LOC110121238						biological-region	enhancer										
1	110121251	LOC110121251						biological-region	enhancer										
1	110121256	LOC110121256						biological-region	enhancer										
1	110121257	LOC110121257						biological-region	enhancer										
1	110121258	LOC110121258						biological-region	enhancer										
1	110121260	LOC110121260						biological-region	enhancer										
1	110121261	LOC110121261						biological-region	enhancer										
1	110121262	LOC110121262						biological-region	enhancer										
1	110121263	LOC110121263						biological-region	enhancer										
1	110121264	LOC110121264						biological-region	enhancer										
1	110121265	LOC110121265						biological-region	enhancer										
1	110121266	LOC110121266						biological-region	enhancer										
1	110121283	LOC110121283						biological-region	enhancer										
1	110121285	LOC110121285						biological-region	enhancer										
1	110121289	LOC110121289						biological-region	enhancer										
1	110121306	LOC110121306						biological-region	enhancer	silencer									
1	110121307	LOC110121307						biological-region	enhancer										
1	110594336	LOC110594336						biological-region	nucleotide_motif	repeat_instability_region	meiotic								
1	110599576	LOC110599576						biological-region	nucleotide_motif	repeat_instability_region	meiotic								
1	111365143	LOC111365143						biological-region	enhancer	transcriptional_cis_regulatory_region									
1	111365197	LOC111365197						biological-region	enhancer	transcriptional_cis_regulatory_region									
1	111365207	LOC111365207						biological-region	enhancer	transcriptional_cis_regulatory_region									
1	111365208	LOC111365208						biological-region	enhancer	transcriptional_cis_regulatory_region									
1	111365211	LOC111365211						biological-region	enhancer	transcriptional_cis_regulatory_region									
1	111413047	LOC111413047						biological-region	enhancer	transcriptional_cis_regulatory_region									
1	111429603	LOC111429603						biological-region	enhancer	transcriptional_cis_regulatory_region									
1	111429604	LOC111429604						biological-region	enhancer	transcriptional_cis_regulatory_region									
1	111429612	LOC111429612						biological-region	enhancer	transcriptional_cis_regulatory_region									
1	111429629	LOC111429629						biological-region	enhancer	transcriptional_cis_regulatory_region									
1	111464988	LOC111464988						biological-region	enhancer	transcriptional_cis_regulatory_region									
1	111464991	LOC111464991						biological-region	enhancer	transcriptional_cis_regulatory_region									
1	111501763	LOC111501763						biological-region	enhancer	transcriptional_cis_regulatory_region									
1	111501765	LOC111501765						biological-region	enhancer	transcriptional_cis_regulatory_region									
1	111501769	LOC111501769						biological-region	enhancer	transcriptional_cis_regulatory_region									
1	111501793	LOC111501793						biological-region	enhancer	transcriptional_cis_regulatory_region									
1	111556113	LOC111556113						biological-region	enhancer	transcriptional_cis_regulatory_region									
1	111556116	LOC111556116						biological-region	enhancer	transcriptional_cis_regulatory_region									
1	111556138	LOC111556138						biological-region	enhancer	transcriptional_cis_regulatory_region									
1	111556158	LOC111556158						biological-region	enhancer	transcriptional_cis_regulatory_region									
1	111562380	LOC111562380						biological-region	enhancer	transcriptional_cis_regulatory_region									
1	111591499	LOC111591499						biological-region	enhancer	transcriptional_cis_regulatory_region									
1	111721703	LOC111721703						biological-region	enhancer										
1	111721704	LOC111721704						biological-region	enhancer										
1	111721714	LOC111721714						biological-region	enhancer_blocking_element										
1	111776218	LOC111776218						biological-region	enhancer										
